scramble,recover,time,step
7 16 4 0 11 5 6 9 12 11 17 3 16 10 12 0 9 5 2 10 6 0 4 10 13,0 12 7 5 15 1 7 15 3 16 12 3 13 4 7 3 6 3 6 3 7 4 7 3 6 4 15 4 16 7 3 6 4 16 7 3 6 3 7 5 6 3 15 4 7 4 6 4 7 5 6 4,6413,51
1 8 3 1 16 9 4 2 17 12 2 8 0 6 14 15 4 2 13 11 0 15 3 16 10,16 13 7 0 8 12 6 0 5 10 4 9 6 3 12 7 13 5 4 6 5 7 4 6 5 7 4 9 3 10 5 7 4 6 3 16 3 15 4 16 3 15 4 15 10 16 9 3 3 15 5 17 4 17 4 17 5 15,6950,58
9 5 2 10 2 15 2 9 8 16 9 7 12 17 2 12 10 3 0 11 6 3 12 16 11,14 17 5 11 4 7 3 8 3 4 7 4 6 3 7 1 7 5 6 4 0 4 1 16 15 16 4 15 3 0 3 4 9 4 10 5 9 3 10 16 7 5 6 15 3 7 4 6 4 7 5 6 4 7 5 6 3 7 3 6,7850,60
2 15 10 6 0 8 9 2 4 13 4 8 4 13 9 5 11 7 5 2 7 5 12 7 9,12 17 2 8 16 0 15 4 1 13 1 14 0 14 1 12 0 12 0 13 2 12 1 13 2 10 0 9 7 15 6 2 7 16 6 2 10 1 9 1 10 0 9 1 15 10 2 9 2 9 16 10 1,6676,53
9 7 12 15 10 0 17 7 12 2 17 2 15 6 5 13 8 15 14 3 14 7 14 4 15,14 0 7 17 7 16 2 12 0 14 2 12 0 16 1 15 1 10 1 9 2 16 1 15 0 12 1 13 1 0 16 2 10 0 9 0 15 0 1 9 0 10 1 11 15 10 1 10 0 9 16 10 0 9 1 10 0 9 2 10 1,7985,61
4 13 1 5 12 2 17 11 5 16 6 11 17 5 15 2 14 11 0 10 15 1 12 9 1,16 14 3 16 2 16 2 13 1 12 15 7 16 6 15 0 16 1 4 6 0 7 3 0 12 1 13 7 16 2 15 1 6 2 0 15 0 16 1 15 1 16 12 1 15 0 13 16 0,6310,48
7 3 15 13 10 7 14 8 12 6 10 0 3 6 2 4 15 6 3 7 1 3 8 12 9,3 14 6 15 6 2 13 1 12 0 9 1 10 7 0 6 1 6 0 7 2 12 0 13 0 12 1 13 15 0 16 0 15 1 16 2 10 1 13 2 12 1 13 1 14 9 16 10 13 9 15,5417,51
2 4 13 5 0 12 10 8 15 7 11 3 7 5 17 6 12 16 3 7 12 5 0 12 17,14 3 12 5 0 12 10 13 0 10 1 9 0 15 1 16 9 0 10 1 13 0 12 2 12 1 13 2 12 1 13 1 6 2 7 0 6 7 0 6 0 7 2 7 15 6 16 1 6 1 10 0 7 1 9 0 10 1 9 1 9 0 11 0 9 1 9 1 10 1,7542,70
13 3 1 8 10 14 11 4 16 9 15 0 13 2 7 4 12 8 9 0 7 0 7 9 0,3 6 16 8 13 9 12 2 13 3 12 4 13 4 12 4 12 3 13 3 12 4 13 4 15 5 17 4 15 3 3 7 3 6 15 4 16 4 7 3 6 5 3 10 16 6 15 9 16 8 3 6 3 7 5 6 3 15 3,7111,59
13 15 8 1 13 15 3 9 15 1 11 6 5 8 1 16 12 11 17 6 1 5 11 6 0,1 12 10 0 10 12 9 15 7 16 4 1 16 1 15 1 10 1 9 1 6 0 7 2 6 1 7 2 13 0 12 9 0 15 0 16 1 10 0 2 10 1 13 2 12 1 14 4 12 1 13 3 14 9 1,7313,55
10 6 1 16 12 6 10 17 4 13 15 6 12 0 6 1 3 9 13 16 3 11 16 11 17,1 9 7 0 6 4 0 4 15 3 17 4 17 3 17 4 15 3 13 5 12 16 3 15 5 9 3 10 3 9 4 10 3 9 13 10 12 5 9 13 10 12 3 13 12 4 10 3 11 3 0 10 3 9 5 1 11 4 9 3,7179,59
11 3 12 16 9 6 0 16 12 1 9 0 11 3 16 12 11 5 17 10 16 3 0 11 3,1 11 0 15 0 15 2 3 6 5 8 4 6 13 3 12 9 5 10 3 1 10 3 4 9 0 1 10 4 3 9 0 10 4 9 1 10 3 13 12 9 4 0 12 4 13 10 4 9 5 9 5 10 4 9 4 9 0 10 3 9 1 10 4 10 4,9713,65
0 6 9 5 13 10 4 2 6 11 17 9 12 0 17 0 7 2 9 13 8 2 5 13 16,15 0 6 10 15 9 3 10 9 4 10 15 9 3 10 4 9 3 0 3 12 7 13 3 15 4 16 3 16 4 15 3 13 3 12 7 5 6 5 6 5 7 13 10 4 9 12 3 10 4 9 3 10 3 9 7 3 10 4 9 6 5,8848,62
6 16 13 2 8 5 13 5 1 7 9 13 11 4 12 17 10 8 17 11 6 2 16 2 10,1 17 8 3 1 10 16 3 0 3 7 3 8 5 7 9 4 10 3 12 4 13 4 12 4 13 3 12 4 13 4 13 3 12 4 7 9 1 13 0 6 10 4 13 3 12 4 13 4 12 3 13 4 12 3 12 0 13 3 12 1 13,6173,58
11 12 6 17 10 6 17 2 15 13 0 9 8 2 13 10 16 12 4 12 11 3 2 16 11,4 15 9 0 10 5 9 17 0 9 1 10 1 10 0 9 7 2 6 3 6 2 7 4 6 1 7 16 2 15 2 16 2 17 0 17 0 17 2 16 1,5472,40
17 2 3 17 1 5 8 16 12 10 3 9 13 1 6 13 3 16 5 13 16 11 13 11 5,16 4 15 0 4 9 1 10 1 9 16 10 15 13 6 12 2 16 1 15 0 12 9 2 10 13 2 13 1 8 3 7 0 6 4 8 12 6 1 7 0,4802,40
0 5 14 16 3 11 7 2 13 10 13 16 10 5 17 11 15 1 13 4 10 14 6 16 13,11 2 11 5 13 0 7 12 4 13 3 9 3 10 5 9 4 10 5 6 3 7 4 6 3 7 4 7 4 6 3 10 15 9 3 10 16 9 4 7 5 6 3 7 4 6 3 15 7 4 6 3 6 16 7 6 8 3 6,7327,59
9 5 0 7 17 7 15 4 12 3 17 11 1 14 15 9 0 6 9 1 11 5 9 7 4,8 14 4 11 4 10 3 9 4 9 5 10 5 10 3 9 4 12 7 13 6 7 4 6 5 13 9 12 11 3 9 4 10 4 9 4 6 5 7 5 10 3 6 4 7 9 4,5240,47
6 4 15 1 15 0 14 6 5 7 4 1 9 14 11 14 10 2 12 1 10 17 12 2 11,3 6 14 2 16 12 1 13 2 10 1 11 2 11 1 9 2 16 1 15 0 6 1 7 2 9 16 10 15 10 0 9 2 10 0 9 10 1 9 0 10 1 11 3 10 1 9 4 10 1 10 2 9,7350,54
3 13 1 5 12 3 14 7 12 7 5 14 17 5 15 5 16 7 5 13 1 13 1 14 11,4 14 10 4 11 4 0 9 2 10 16 1 15 0 13 0 12 1 15 0 16 0 12 0 13 1 12 2 14 1 12 1 13 1 12 14 3 16 11 15 4 13 2 13 1,6585,44
1 15 6 17 8 16 0 8 15 6 1 7 0 12 16 10 3 1 7 17 7 9 16 9 13,17 2 9 3 16 0 3 10 1 9 2 10 0 9 0 7 2 8 0 8 0 6 3 13 0 12 4 0 1 13 1 12 0 9 7 1 16 0 15 6 10 2 9 13 1 12 0 12 10 13 0 13 0 12 0 13 1 12 1 13 1 12 2,7711,61
0 3 11 0 8 13 16 11 7 5 15 13 2 3 8 11 13 15 6 15 9 17 13 11 12,14 16 8 17 6 12 16 4 10 14 9 4 0 6 1 7 0 6 0 7 2 15 1 16 0 15 1 16 12 2 13 1 9 16 10 17 0 16 1 9 0 10 14 4 6 1 7 0 7 3 14,7625,48
10 2 8 0 14 10 0 3 14 1 6 14 4 14 0 7 1 4 7 2 8 5 6 5 0,8 14 0 11 4 7 2 6 1 3 9 2 10 0 10 1 9 0 9 1 10 0 9 0 10 0 6 0 7 1 6 0 7 0 7 1 6 1 12 1 13 0 14 10 13 9 13 2,5678,47
9 6 0 9 15 8 13 11 13 9 12 7 2 16 2 4 14 17 1 4 8 17 13 5 13,8 16 6 9 5 16 6 2 7 5 0 9 1 10 7 0 6 3 10 1 9 0 10 1 9 4 2 10 2 9 2 10 1 9 2 9 16 10 15 0 1 9 0 10 0 16 0 9 1 10 1 15 9 1 10 1,7029,56
0 3 11 7 1 8 14 10 1 13 4 11 1 17 0 9 3 8 0 16 7 1 3 7 16,0 4 16 6 2 16 5 15 4 12 7 13 4 12 7 13 6 13 3 12 7 4 6 10 3 9 3 7 5 6 4 15 3 16 7 4 6 4 7 4 6 3 7 4 7 1 6 5 7 0 6 3 6 5,5972,52
2 11 13 6 10 16 7 12 7 5 13 15 2 15 13 7 17 2 3 9 14 5 12 7 14,9 16 7 12 4 3 12 4 13 3 0 15 0 16 0 15 1 16 2 9 1 10 2 12 0 13 6 1 12 1 13 7 16 2 15 2 16 2 15 0 16 1 15 2 15 7 16 1 16 0 15 6 2,7202,54
15 5 17 9 6 5 10 15 5 9 2 7 9 15 0 4 17 3 2 9 0 4 15 10 14,15 6 3 15 4 14 6 1 12 15 1 16 7 2 6 15 2 16 6 0 7 10 0 13 0 12 2 9 0 10 12 9 16 10 13 9 15 2,5634,39
4 8 16 1 6 17 13 2 12 10 4 7 17 11 13 5 14 6 4 9 14 6 9 2 16,1 10 1 10 7 5 6 9 3 10 4 9 3 10 5 9 13 10 12 5 6 3 7 5 7 12 6 4 9 13 10 12 7 14 6 3 10 5 9 3 10 3 11 5 10 4 9 4 10 3,5407,50
8 1 11 6 17 2 16 6 16 13 4 15 1 16 14 5 1 12 16 10 8 16 6 0 8,3 7 5 6 4 7 4 10 1 9 0 12 1 14 0 12 2 12 13 12 0 13 2 16 1 15 2 7 0 8 13 7 12 7 0 6 0 6 2 6 0 4 6 0 7 3 7 1 7 1 8 2,5993,51
4 2 12 11 6 4 8 5 10 17 1 7 11 4 2 12 5 0 6 1 8 0 9 13 1,9 1 15 10 3 13 16 9 15 1 16 9 15 10 2 13 1 12 15 0 16 2 7 1 6 1 12 0 13 2 16 9 17 0 16 1 10 1 13 0 1 12 16 11 17 1 13 0 12 17 11 15 2,6395,52
16 9 14 1 6 3 10 5 12 2 13 1 10 7 2 7 12 8 11 2 16 4 17 9 17,16 10 6 16 8 1 12 5 14 4 12 5 16 4 17 3 16 4 12 3 13 3 12 3 13 3 13 9 10 12 16 4 15 10 15 11 3 10 4 16 16 4 8 0 7 3 6 1 8 15 6 4 7 4,6661,52
14 17 5 16 14 2 9 0 5 6 17 6 3 7 4 14 8 12 16 5 2 15 14 8 1,9 14 8 9 0 7 15 6 9 0 10 3 12 1 13 16 1 15 1 15 0 16 0 7 0 6 1 7 0 6 1 6 13 7 12 0 2 6 1 8 4 9 17 10 3 8 0 7,6643,48
12 6 13 11 1 14 16 11 13 10 15 0 11 7 0 15 12 2 11 17 10 7 14 8 16,10 15 5 17 11 0 16 0 10 0 9 2 15 1 10 2 9 0 10 1 9 0 13 2 12 1 12 0 13 1 12 0 9 1 11 13 9 0 1 6 2 6 3 7 1 6 4 8 0 6 2 7,8167,52
9 4 0 15 1 10 7 13 1 15 10 3 17 3 0 13 5 8 0 9 7 1 10 2 16,13 16 10 4 7 16 0 10 0 9 0 9 0 10 1 4 10 0 9 3 12 1 13 1 7 1 6 0 15 2 6 1 7 1 16 2 10 1 9 0 10 1 11 3 10 0 9 4 10 2 10 0 9 2,7499,54
15 5 16 4 1 8 3 2 8 1 5 17 11 16 11 2 17 4 10 17 5 15 10 6 0,11 8 12 6 0 9 0 7 5 6 4 10 4 9 2 16 4 15 2 3 7 13 4 12 3 6 12 3 13 4 13 4 12 3 12 4 13 4 13 3 12 4,5196,43
8 12 8 5 6 12 9 2 4 6 9 13 15 3 6 0 3 10 7 1 4 13 2 10 1,9 4 10 15 9 1 11 1 12 5 13 4 13 9 12 4 7 5 6 5 9 3 10 4 13 5 12 3 13 4 12 4 15 4 16 3 7 3 6 15 4 16 5 13 1 12 5 13 0 12 3 12 5 13 3 12 3 13 5,7371,60
8 0 14 17 0 10 15 4 0 9 12 5 17 8 16 3 7 9 5 13 15 11 12 10 12,16 9 15 6 13 3 12 6 0 7 9 1 10 0 15 2 16 1 15 0 16 1 15 2 17 1 17 1 16 0 7 2 6 2 7 0 6 7 1 6 0 7 1 8 3 7 1 6 4 7 1 7 2 6 1,5395,54
11 1 15 6 14 3 13 10 17 1 12 11 17 1 6 3 0 16 14 1 16 12 10 14 3,15 0 6 4 9 13 10 0 10 4 9 5 10 4 9 3 11 3 9 7 3 6 4 6 3 7 3 13 4 12 5 9 13 10 12 10 3 9 5 10 3 9 5 13 11 1 9 4 10 0 11 3 10 4 9 3 10 4 9 3 12 5,5877,61
12 9 8 16 4 16 6 2 8 4 11 12 2 9 2 11 0 7 11 12 3 16 0 11 16,4 0 15 10 3 0 12 4 13 4 15 3 17 4 15 5 13 4 12 4 13 4 12 6 3 7 5 12 5 13 4 12 4 12 0 13 5 12 1 13 5 13 5,4547,42
10 5 12 4 2 10 1 7 13 7 1 6 0 16 13 7 2 13 6 1 7 10 0 14 2,7 17 10 16 5 12 3 13 3 12 4 13 2 9 3 10 3 9 4 10 5 6 4 7 12 5 13 6 3 7 4 13 4 12 3 11 12 10 5 10 5 9 13 3 10 4 9 3 10 4,5509,50
13 4 1 12 8 11 13 17 1 6 3 13 11 12 8 1 8 12 3 7 9 14 9 0 4,17 9 12 16 0 15 4 12 7 13 5 16 5 15 3 16 4 15 4 7 5 6 3 7 4 6 4 12 7 13 8 5 8 12 6 13 10 4 9 4 10 3 9 4 10 3 9 3 6 4 10 3 7 9 3,5875,53
6 17 0 16 0 16 14 3 17 10 12 16 7 4 13 8 5 10 3 9 2 5 10 0 16,0 7 13 9 6 4 8 13 6 2 9 4 10 4 12 3 13 3 7 5 6 5 16 7 5 8 16 7 17 10 16 6 15 9 16 8 3 6 3 7 5 6 3 15 4,5775,45
16 9 6 17 4 6 0 3 12 16 4 7 12 11 14 10 15 9 16 14 9 16 1 6 16,15 3 11 3 10 0 4 0 9 16 10 16 0 17 1 16 2 2 16 0 15 0 16 1 15 12 0 13 1 2 13 1 7 1 6 2 12 0 1 7 1 6 1 8 4 6 0 7 3 8 1 7 2 6 2,7139,54
3 15 10 13 9 7 3 9 4 7 12 6 1 9 16 9 7 13 1 17 1 14 17 10 4,14 7 16 1 12 0 6 4 16 7 15 7 3 6 10 3 9 4 10 4 9 13 10 15 9 12 17 5 15 4 3 15 5 15 0 16 5 15 1 17 5,5267,41
3 0 14 10 14 2 14 15 8 5 17 6 5 0 15 9 4 2 10 6 13 17 2 6 17,15 9 5 0 9 16 0 3 0 10 1 9 4 6 1 7 10 0 9 6 1 7 2 7 1 6 16 1 15 0 6 1 7 0 7 16 0 15 0 16 1 15 6 16 1 15 0 15 7 16 6 2,5573,52
3 0 16 2 8 0 15 7 12 1 12 8 0 8 14 17 0 13 10 12 4 11 2 15 8,4 8 16 0 4 6 4 7 3 6 3 7 16 5 15 3 13 5 14 3 14 3 12 4 3 15 3 16 3 15 4 17 6 15 7 4 7 9 3 11 1 10 0 10 4 14 10 6 5,7301,46
16 8 17 7 12 17 4 16 13 4 7 3 13 2 10 3 7 3 14 10 2 3 6 1 10,15 6 1 4 6 16 4 9 4 11 3 9 0 3 7 4 6 1 4 3 7 4 6 3 9 4 10 3 7 3 13 3 12 6 15 3 16 7 4 13 5 12 4 13 5 14 7 13 6 13 3 12 6 5,6064,54
6 17 14 4 10 14 7 1 7 10 12 7 2 9 2 10 5 12 15 4 15 12 2 6 4,16 3 9 13 1 15 0 3 16 4 15 4 13 4 12 4 12 3 13 5 16 4 15 10 4 9 4 10 15 9 5 10 16 9 7 4 6 4 5 10 15 10 2 6 13 7 2 11 16 4,5842,49
2 4 11 6 2 9 3 0 6 10 12 1 12 6 15 8 10 14 0 3 14 10 4 17 11,11 12 11 16 10 3 12 2 12 0 14 1 12 1 7 15 0 16 6 1 16 2 15 6 2 7 12 1 13 0 12 1 13 0 13 6 12 7 2 17 4 15 2 16 3 17 0 16 1 16 4 15 2 16 3 17 1,8001,58
9 3 1 7 14 10 12 6 4 11 7 0 11 16 12 10 0 17 1 16 1 16 2 10 8,4 15 4 7 1 10 12 9 0 10 1 9 3 1 10 1 9 7 1 6 2 13 1 12 0 9 1 10 0 6 0 12 1 13 7 12 1 13 0 16 0 15 1 16 1 15 2 15 3 16 1 15 4 17 1 15 2,6804,56
0 16 6 10 5 12 4 13 5 0 9 0 14 2 5 12 1 15 7 3 13 4 17 12 9,10 13 6 15 4 7 1 6 0 8 1 6 2 16 0 17 1 16 7 15 6 16 2 13 1 12 16 0 15 2 16 0 15 0 16 1 12 1 15 0 13 0 16 1 15 2 16 2 15 0,5805,51
6 3 10 13 0 10 3 16 1 3 14 17 7 17 14 8 13 9 15 7 17 9 2 7 3,7 16 1 12 10 4 1 12 10 0 9 13 1 15 0 16 1 9 0 10 1 4 10 1 9 1 10 0 9 3 0 16 9 15 11 0 9 1 10 1 9 1 16 10 0 9 1 10 1 9 1 10 0 9 15,5280,55
3 2 6 5 8 16 13 0 13 3 1 12 3 10 17 2 3 6 1 9 0 15 5 1 12,0 12 16 11 4 9 1 4 6 16 7 15 6 3 7 5 9 5 10 16 5 15 5 3 15 4 16 4 15 4 17 6 15 7 5 7 13 4 12 3 13 3 12 3 13 4 12 6 5,5854,48
10 0 15 4 11 12 16 9 6 2 8 4 17 0 7 2 14 10 0 14 5 0 8 2 16,8 12 6 4 11 6 16 7 5 16 4 15 3 13 4 12 3 7 4 6 3 16 4 15 7 3 6 5 15 3 16 4 10 5 9 4 10 3 9 4 10 4 11 12 10 4 10 3 9 13 4 10 5 9 5,7181,56
12 1 10 17 7 11 16 0 8 14 6 17 8 14 15 4 12 4 8 11 3 10 5 10 16,10 2 12 11 4 10 15 1 16 5 7 1 6 2 7 0 6 0 16 2 15 13 0 12 6 1 7 1 6 0 7 2 7 15 6 16 1 9 2 11 1 11 1 11 2 9,7717,46
16 4 8 2 7 1 3 12 0 16 13 8 16 5 16 3 15 6 17 6 5 9 12 15 8,11 12 9 3 1 6 13 3 12 10 13 9 4 2 6 13 7 12 0 12 0 13 6 0 7 1 15 0 16 1 2 16 1 15 1 16 1 15 0 16 1 16 4 15 2 16 3 15 0 15 2,5279,50
17 12 10 1 6 5 6 3 1 10 5 0 11 15 6 2 16 2 15 12 6 11 12 7 11,0 9 12 6 5 9 14 10 3 7 4 6 4 7 4 8 3 7 5 6 4 7 5 4 15 10 16 11 3 10 4 5 6 3 7 3 6 5 6 0 7 5 6 1 7 5 7,5674,48
7 1 15 1 9 5 6 1 16 11 0 11 0 7 13 17 1 5 15 9 17 12 1 17 4,0 16 11 3 8 3 6 2 4 13 3 12 3 16 6 15 7 15 4 16 5 10 3 9 7 12 6 5 7 13 6 3 5 8 17 7 17 7 3 6 4 9 4 10 3 7 3,6108,46
15 3 17 8 14 15 1 13 9 15 6 4 6 1 8 14 16 4 9 14 0 9 5 15 14,11 0 17 4 0 15 7 16 2 6 2 7 1 6 0 7 1 12 1 13 1 12 1 13 0 12 1 14 1 12 0 10 1 9 0 13 0 12 9 0 15 0 16 0 10 1 9 16 10 12 9 15 10 14 2 12 0 13 0 12 2,6450,61
14 2 15 6 2 16 7 4 9 8 4 10 13 4 12 0 13 11 14 9 2 15 10 1 13,7 12 17 6 15 0 6 16 7 15 13 4 12 3 13 4 14 3 13 3 12 3 13 4 3 9 4 12 3 13 5 10 5 16 5 15 3 12 5 16 4 15 13 4 12 4 13 3,5580,46
14 10 1 3 6 17 5 9 12 9 2 4 16 0 13 9 16 8 11 1 5 15 10 0 13,11 12 8 12 6 10 3 9 2 3 7 4 6 4 10 5 11 3 10 12 3 13 3 12 3 13 3 13 5 14 7 13 6 5 3 12 7 13 4 12 3 12 6 14 3 12 4 13 3 12 5 13 5,4977,53
2 17 5 2 16 12 2 7 15 10 7 15 10 16 1 9 16 9 2 3 7 9 17 7 2,4 8 13 15 0 7 1 6 0 1 0 10 1 9 0 13 6 0 7 12 3 0 9 0 10 4 0 9 1 7 16 15 6 10 1 6 13 7 1 6 12 7 0 2 7 1 6 1 7 0 8 3 7 1 6 4 8 2 6 1,7007,57
2 12 6 16 13 10 16 4 14 17 4 0 10 6 14 10 3 11 16 12 10 16 9 5 7,10 14 7 0 7 15 6 10 0 9 1 10 0 9 7 2 6 2 10 1 9 16 1 15 9 1 10 0 9 0 10 0 10 2 9 2 10 0 9 0 9 2 10 1 9 1 10 1 9 0 10 0 9 2 10 0,5743,54
7 9 14 11 3 17 2 13 3 9 4 6 1 8 14 5 17 7 16 3 7 5 16 0 9,9 4 9 4 10 5 6 0 7 0 12 0 13 1 13 0 12 0 9 1 11 1 11 1 10 2 6 0 7 1 15 7 16 8 0 7 0 1 0 9 0 10 1 10 1 9 0 9 1 10 1 10 0 9 1,6563,55
1 5 10 6 12 1 9 4 12 4 11 12 6 9 14 0 15 1 16 12 2 4 7 0 17,13 1 12 4 12 3 7 1 3 15 3 16 13 3 12 3 16 4 15 10 3 9 4 10 4 9 5 6 3 8 12 6 13 5 6 5 7 10 5 6 3 9 5 7 3 10 3 9,6677,47
6 4 14 0 12 9 1 10 13 7 12 10 5 13 0 17 8 0 11 3 17 0 9 13 16,12 6 14 15 9 2 10 4 2 6 2 7 0 6 1 8 2 6 10 2 9 1 7 0 16 0 15 6 12 2 13 0 16 1 15 0 16 1 17 3 16 1 15 4 16 1 16 2 15 2,5676,49
0 16 14 11 16 2 5 8 0 11 5 7 9 0 10 5 15 6 12 10 16 0 12 15 7,0 16 2 15 9 15 10 16 9 3 9 3 10 5 13 3 12 4 13 4 12 7 3 6 12 5 13 7 5 6 4 6 16 7 15 3 7 4 6 3 6 15 7 5 7 5 6 16 4,5146,49
9 17 5 8 5 13 3 2 11 13 9 8 2 12 3 14 6 9 15 2 5 10 3 11 8,4 16 10 1 8 4 10 1 9 3 1 15 0 16 12 0 14 2 12 6 13 7 12 0 6 13 7 12 2 13 7 1 6 0 12 6 13 8 15 8 12 8 16 6 0,5365,44
4 17 0 8 11 12 0 9 3 11 16 13 3 16 10 6 0 4 13 3 1 15 9 14 0,3 9 13 0 14 4 14 3 12 3 12 4 13 16 3 15 4 15 4 16 9 13 10 12 5 6 16 7 15 7 3 6 3 10 16 6 15 9 16 7 15 7 3 7 4 7 4 7 3 6 3 8 5,6442,54
10 12 1 12 4 12 5 13 1 7 15 13 4 8 16 10 6 4 2 6 1 16 1 14 16,6 15 12 5 12 8 13 4 0 6 5 7 4 6 3 7 1 7 5 6 4 15 10 16 9 3 4 15 5 16 3 7 4 6 3 5 9 6 4 7 3 10 6 3 7 5 6 5 7,6864,47
15 3 15 5 6 11 3 6 9 17 13 3 15 10 3 2 12 10 16 14 10 8 2 13 11,1 15 10 1 12 3 15 3 16 3 15 4 16 3 1 12 3 13 15 4 16 5 15 3 17 4 17 3 16 9 5 12 4 13 4 10 5 3 4 15 5 17 4 17 4 17 5 15 3,5972,47
10 12 11 4 10 14 5 15 7 1 13 10 1 5 6 17 4 1 6 12 16 1 14 8 2,4 8 0 16 1 4 13 6 12 4 0 15 1 16 2 9 0 10 0 12 1 13 16 0 15 2 10 6 7 14 1 12 0 14 9 17 1 17 6 16 1 15 1 16 2 15 7 17 0 17 0,7171,49
17 6 2 9 1 3 14 0 15 0 16 9 13 6 10 0 16 11 15 10 1 3 12 8 13,13 9 5 10 15 9 8 12 5 13 1 4 15 10 16 9 16 3 15 7 4 6 5 7 3 6 5 6 4 7 5 6 4 7 3 16 7 4 6 3 15 3 5 7 4 7 1 6 4 7 9 14 10 0 8 5,8424,55
17 5 17 3 16 3 14 16 0 4 12 5 0 13 2 3 10 7 14 3 16 0 17 2 7,16 7 13 9 12 3 12 4 1 4 6 3 7 4 15 3 16 4 15 5 16 5 10 15 9 16 5 10 4 9 4 16 7 3 6 4 7 4 6 5 15 7 5 6 5 7 3 6 4 7 6 4 7 3 6 5 7 4 6 5,6773,60
13 3 7 15 8 4 1 7 15 5 7 10 14 15 3 14 2 10 2 9 16 11 3 15 0,16 7 10 0 3 11 2 9 1 11 0 9 1 12 2 13 2 12 1 13 0 6 1 7 0 6 0 7 0 9 0 10 2 13 7 1 6 12 2 7 1 6 12 7 1 6 0 6 13 7 0 6 13 7 1 7 0 6 12,5708,59
6 9 3 7 12 3 9 5 2 9 7 4 8 4 1 10 6 13 15 10 2 16 14 10 2,0 9 7 15 16 12 16 15 16 4 15 4 16 3 15 13 9 12 10 13 4 12 15 5 16 4 15 5 16 5 10 4 9 4 10 3 9 10 3 9 5 10 3 11 0 10 3 9 1 10,4772,48
1 7 9 15 11 4 0 12 9 16 11 7 15 6 11 13 4 0 6 3 2 15 2 6 5,7 4 6 12 5 0 6 0 7 1 6 0 7 1 9 2 11 1 9 1 12 10 13 9 0 12 0 13 0 7 2 6 1 0 12 0 9 2 10 1 13 7 0 6 2,5629,45
0 6 16 5 2 13 9 15 12 11 15 10 8 4 8 10 3 13 10 12 1 6 1 3 7,16 12 7 1 9 5 0 12 0 13 16 9 0 10 15 1 15 2 16 1 15 2 16 1 15 3 13 7 12 4 17 1 15 2 12 0 13 0 12 2 13 0,4763,41
9 5 7 13 1 14 0 17 12 5 0 9 0 13 8 2 6 15 2 7 5 7 3 13 7,4 6 15 1 17 3 1 12 4 13 6 4 7 3 7 4 6 5 9 3 10 5 3 7 13 4 12 5 6 5 12 5 13 7 3 12 3 13 4 6 4,5331,40
14 9 16 12 4 8 1 13 17 1 14 3 1 10 14 7 2 10 7 13 2 9 6 12 15,3 7 13 10 12 6 0 7 0 7 1 6 1 7 0 6 4 1 9 0 10 0 9 1 10 0 13 4 15 6 16 3 14 0 13 12 2 12 3 16 11 15 4 14 2,4802,45
11 17 3 7 9 17 13 9 14 6 11 17 11 2 15 13 4 7 4 15 4 7 10 17 1,4 7 16 10 3 1 12 0 13 4 16 1 15 1 16 1 15 2 10 12 9 13 9 1 10 1 10 1 9 1 15 6 0 7 16 1 7 1 6 1 7 0 6 1 7 0 6 1 7 2 6 1,5263,52
10 2 7 15 1 5 13 1 9 2 6 12 1 7 14 7 5 11 16 8 5 7 11 2 8,15 13 3 12 7 13 16 5 15 4 0 13 4 12 7 4 6 5 10 4 9 4 10 4 9 5 13 5 12 3 7 9 1 13 0 10 6 3 13 3 13 4 13 4 13 3 12 3 14,6729,46
12 5 9 0 13 15 4 0 11 17 2 16 10 6 13 16 7 13 10 5 8 11 16 3 17,10 8 13 0 10 15 4 16 5 6 16 4 15 7 5 12 4 13 12 3 4 13 3 12 3 13 3 7 12 6 13 4 12 7 13 6 13 4 12 7 4 13 3 12 4 13 3 14 6 13 4 13 3 12 4,5704,55
3 6 4 7 3 11 6 12 1 3 9 3 16 0 16 6 16 0 5 17 14 4 11 3 0,14 10 16 10 13 4 9 0 10 3 0 10 1 9 1 15 0 16 1 12 1 13 1 16 1 15 2 1 12 1 13 2 12 2 14 6 12 7 2 15 0 16 7 17 3 16 1 15 4 17 0 6,6195,52
1 6 3 6 12 2 13 9 16 0 8 14 1 6 4 16 0 16,0 10 13 9 4 10 7 12 5 10 3 9 6 3 7 9 5 10 3 7 4 8 3 7 3 6 3 15 4 16 7 15 4 16 13 12 4 13 4 13 1 12 4 13 15 11 16 0 14 3,6169,48
1 12 11 16 13 9 7 4 12 1 4 16 4 6 9 14 10 15 8 2 8 16 9 16 8,7 15 7 13 0 15 7 16 3 1 16 0 15 13 1 12 0 10 1 9 0 10 2 9 7 1 6 0 6 13 7 12 7 1 6 0 7 1 6 1 7 2 6 1 7 1 6 1 7 2 6 1,4463,50
14 7 15 12 0 12 3 6 5 12 5 12 10 17 3 12 4 13 6 5 6 1 3 12 16,0 7 10 16 3 15 4 0 14 5 8 5 15 5 16 7 5 6 12 4 13 0 13 3 12 1 3 12 6 15 4 16 7 13 5 16 4 15 3 16 4 17 0 13 11 12 1 17 5 15 4,6996,50
