scramble,recover,time,step
15 11 14 2 8 16 2 10 3 12 1 11 14 9 3 11 13 1,3 9 13 11 1 13 9 4 10 4 13 3 12 4 16 4 15 3 16 4 15 3 12 10 4 9 3 9 13 10 7 3 6 4 7 5 6 4 7 3 6 4 13 4 10 3 9 12 4 15 10 16 6 15 9 16 7 4 8 17 6 13 7 17 8 8 6 13 6 7 12 12 6 10 3 9 5 10 3 9 5 10 4 9 4 10 5 9 3 11 14 10 5 10 5 9 13 10 4 9 3 9 13 11 4,56793,105
3 7 0 12 10 0 13 6 16 7 12 10 3 15 10 13 11 5 12 5,0 7 13 10 15 9 4 16 5 15 5 16 3 15 4 4 10 3 9 3 10 3 9 3 7 3 6 10 3 9 5 12 3 13 13 3 12 4 6 5 7 5 6 4 7 4 4 12 3 7 4 6 13 7 3 6 13 4 10 3 9 12 8 0 7 5 6 1 7 5 7 3 3 0 7 4 6 3 1 8 3 7 3 6 4 6 4 8 3,38403,88
7 4 8 17 10 13 9 5 7 15 3 6 12 9 14 3 9 13,10 3 6 5 6 16 4 12 1 9 0 3 15 4 16 4 12 7 13 6 12 3 14 4 12 4 6 3 7 9 4 10 4 16 3 15 5 9 13 10 15 9 12 10 16 4 15 5 16 5 15 10 16 4 15 3 15 9 17 4,9488,59
6 12 9 14 3 16 7 3 13 3 11 0 8 2 14 7 16 0 17 2,15 10 13 0 1 0 17 10 16 2 3 16 5 15 15 3 16 9 4 10 3 12 4 13 4 16 5 15 4 13 4 12 4 16 4 15 4 16 3 15 10 16 4 15 3 9 16 5 15 3 16 3 15 15 5 16 5 15 10 16 4 15 3 15 9 17 3 5,37508,68
4 11 17 9 0 15 6 0 17 4 6 1 14 3 11 12 0 7 12 7,15 10 16 4 16 6 14 2 4 15 4 16 3 15 4 16 3 15 4 16 5 16 5 15 4 16 3 15 3 12 3 13 3 12 3 13 5 12 6 13 4 13 3 12 7 4 5 15 11 13 10 12 9 13 10 12 10 16 4 14 11 13 7 12 11 13 6 13 4,9961,69
15 9 15 10 15 3 10 3 13 1 8 3 15 8 2 16 6 13,6 12 1 7 16 8 5 14 3 0 5 4 4 13 4 12 4 13 3 12 3 15 3 16 5 3 16 4 15 5 16 3 15 5 4 10 4 9 3 10 4 9 5 16 4 7 3 6 15 11 3 9 3 10 4 10 4 10 3 10,10807,60
4 14 11 13 4 14 4 12 4 7 1 16 0 11 14 5 10 0,12 1 9 5 12 4 12 7 3 5 4 9 3 10 3 9 4 10 4 9 5 11 4 11 4 10 5 5 6 5 7 3 6 4 7 5 7 3 6 3 7 3 6 4 7 3 6 5 9 12 7 12 6 14 10 8 3 6 3 7 4 7 4 7 3 7,10883,66
8 12 8 17 0 15 4 12 1 17 5 6 5 16 10 16 1 17 11,13 9 7 15 10 0 13 6 16 3 15 7 16 4 15 3 16 3 15 4 15 3 16 3 16 3 15 10 5 9 5 16 3 15 3 16 3 15 4 16 3 15 15 3 15 10 16 9 15 10 16 9 4 17 4 15 16 15 9 16 4 15 3 15 10 17 3 15 4,9860,68
9 0 10 4 8 2 11 1 14 9 0 12 6 3 16 7 4 12,6 16 10 6 2 15 1 3 5 9 4 10 3 9 3 10 5 12 4 13 3 12 3 13 5 13 3 12 4 13 3 12 4 13 3 12 3 7 3 6 4 7 3 6 3 10 16 6 15 9 7 4 7 3 6 7 4 6 3 6 16 8 3 6 4 15 9 4 10,9265,69
3 13 0 14 4 17 1 11 5 15 2 6 13 10 13 8 14 0 6,10 16 0 7 17 1 5 13 3 12 3 15 5 16 3 7 4 6 5 13 9 12 10 5 12 3 13 9 3 10 3 9 3 10 16 4 7 5 6 3 7 4 6 15 9 13 9 17 10 12 9 17 11 5,9666,55
4 14 0 17 1 6 12 3 16 6 13 7 17 6 1 13 10 3 14,12 9 12 7 9 4 10 3 0 8 5 4 6 4 7 5 13 4 12 3 5 12 3 13 5 12 4 13 15 5 16 5 15 4 16 5 5 13 9 12 3 13 4 10 3 12 4 15 3 9 16 4 15 3 15 10 17 3 15 3 16 4 15 4 16 5,12693,65
